Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);05 IT-Sicherheitsmaßnahmen mit verschiedenen Tools überprüfen, z. B.:;Device Security Check
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);05 IT-Sicherheitsmaßnahmen mit verschiedenen Tools überprüfen, z. B.:;Identity & Access Management
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);05 IT-Sicherheitsmaßnahmen mit verschiedenen Tools überprüfen, z. B.:;Schwachstellenanalyse (z. B. Ende-zu-Ende-Verschlüsselung)
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Zutrittskontrolle, z. B.:
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Alarmanlage
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Videoüberwachung
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Besucherausweise
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Zugangskontrolle, z. B.:
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Bildschirmschoner mit Passwortschutz
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Biometrische Verfahren
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Magnet- oder Chipkarte
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Zugriffskontrolle, z. B.:
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Verschlüsselung von Datenträgern
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Löschung von Datenträgern
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;User/Rollenkonzept
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Log Management
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;05 Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6);06 Technische organisatorische Maßnahmen (TOM) kontrollieren:;Compliance Reports
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);01 Schichtenmodelle, z. B. OSI, TCP/IP benennen und zuordnen können;IPv4/IPv6
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);01 Schichtenmodelle, z. B. OSI, TCP/IP benennen und zuordnen können;MAC
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);01 Schichtenmodelle, z. B. OSI, TCP/IP benennen und zuordnen können;Routing
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);01 Schichtenmodelle, z. B. OSI, TCP/IP benennen und zuordnen können;Switching
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);01 Schichtenmodelle, z. B. OSI, TCP/IP benennen und zuordnen können;ARP
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);02 Netzwerkkomponenten vergleichen und analysieren können;Netzwerkkomponenten vergleichen und analysieren können
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Ausdehnung
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Datenübertragungsrate
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Verschlüsselung (preshared key, RADIUS ...)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;LAN/WAN/MAN/GAN
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Strukturierte Verkabelung
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;VLAN
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Drahtlos: PAN/WLAN
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Sicherheitskonzepte und -risiken
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);03 Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren;Bluetooth
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);04 Peer 2 Peer bzw. Client-Server-Konzepte vergleichen und hinsichtlich ihres Einsatzes bewerten können;Netzwerktopologie (IT DV/SI)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);04 Peer 2 Peer bzw. Client-Server-Konzepte vergleichen und hinsichtlich ihres Einsatzes bewerten können;Netzwerkplan
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);05 Übertragungsprotokolle erläutern und zielgerichtet einsetzen können.;TCP/UDP
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);05 Übertragungsprotokolle erläutern und zielgerichtet einsetzen können.;HTTPS
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);06 Standortübergreifende und -unabhängige Kommunikation situationsgerecht auswählen und einrichten können;VPN-Modelle
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);06 Standortübergreifende und -unabhängige Kommunikation situationsgerecht auswählen und einrichten können;Tunnelling
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);06 Standortübergreifende und -unabhängige Kommunikation situationsgerecht auswählen und einrichten können;IPsec
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);07 Netzwerkrelevante Dienste administrieren können;DNS
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);07 Netzwerkrelevante Dienste administrieren können;DHCP
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);07 Netzwerkrelevante Dienste administrieren können;Proxy
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);08 Anwendungsdienste sicherstellen können;Echtzeitkommunikation sicherstellen können
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);08 Anwendungsdienste sicherstellen können;Mailserver
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);08 Anwendungsdienste sicherstellen können;Webserver
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);08 Anwendungsdienste sicherstellen können;Groupware
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);08 Anwendungsdienste sicherstellen können;Datenbanken
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);09 Risiken identifizieren, Maßnahmen planen und Ausfallwahrscheinlichkeiten berücksichtigen;PDCA-Zyklus
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);09 Risiken identifizieren, Maßnahmen planen und Ausfallwahrscheinlichkeiten berücksichtigen;MTBF
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);09 Risiken identifizieren, Maßnahmen planen und Ausfallwahrscheinlichkeiten berücksichtigen;ANR
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);09 Risiken identifizieren, Maßnahmen planen und Ausfallwahrscheinlichkeiten berücksichtigen;Notfallkonzept (Disaster Recovery)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);10 Maßnahmen zur Sicherstellung des Betriebes beurteilen können;Elektrotechnisch (USV)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);10 Maßnahmen zur Sicherstellung des Betriebes beurteilen können;Hardwaretechnisch (Redundanzen), RAID
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);10 Maßnahmen zur Sicherstellung des Betriebes beurteilen können;Softwaretechnisch (Back-ups ...)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);11 Monitoringsysteme anwenden und Ergebnisse interpretieren können;SNMP, S.M.A.R.T. und ähnliche Technologien
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);11 Monitoringsysteme anwenden und Ergebnisse interpretieren können;Systemlastanalyse
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);11 Monitoringsysteme anwenden und Ergebnisse interpretieren können;Predictive Maintenance
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);11 Monitoringsysteme anwenden und Ergebnisse interpretieren können;Load Balancing
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);11 Monitoringsysteme anwenden und Ergebnisse interpretieren können;Incident Management (Ticketsystem)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);12 Monitoringergebnisse analysieren und korrektive Maßnahmen bestimmen können;Standard Operating Procedures (SOP)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);12 Monitoringergebnisse analysieren und korrektive Maßnahmen bestimmen können;Service Level Agreement (SLA)
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);12 Monitoringergebnisse analysieren und korrektive Maßnahmen bestimmen können;Service Level 1-3
Teil 2 der Abschlussprüfung - 02: Systemintegration;01 Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8);13 Erstellen und Erweitern von Handbüchern für Benutzer und Systembetreuer;Fokus liegt auf der praktischen Prüfung
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);01 Technische und organisatorische Maßnahmen (TOM);Berechtigungskonzepte, Organisationsstrukturen (Zugang, Zutritt, Zugriff)
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);02 Möglichkeiten der physischen/hardwaretechnischen Absicherung benennen;Zugangskontrollen (z. B. Gebäude, Serverraum, Schrank ...)
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);03 Möglichkeiten der softwaretechnischen Absicherung implementieren können;Usermanagement
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);03 Möglichkeiten der softwaretechnischen Absicherung implementieren können;Firewall/Netzfilter
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);03 Möglichkeiten der softwaretechnischen Absicherung implementieren können;Portsecurity
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);03 Möglichkeiten der softwaretechnischen Absicherung implementieren können;Verschlüsselung (TPM)
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);04 Verschiedene Service- und Liefermodelle benennen und bedarfsorientiert auswählen können;Fog, Cloud ...
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);04 Verschiedene Service- und Liefermodelle benennen und bedarfsorientiert auswählen können;SaaS, XaaS ...
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);05 Daten heterogener Quellen zusammenführen können;Data Warehouse
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);05 Daten heterogener Quellen zusammenführen können;Data Lake
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);06 Netzwerkkomponenten und -protokolle beschreiben können, z. B.:;iSCSI
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);06 Netzwerkkomponenten und -protokolle beschreiben können, z. B.:;SMB
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);06 Netzwerkkomponenten und -protokolle beschreiben können, z. B.:;NFS
Teil 2 der Abschlussprüfung - 02: Systemintegration;02 Inbetriebnehmen von Speicherlösungen (§ 4 Absatz 2 Nummer 9);06 Netzwerkkomponenten und -protokolle beschreiben können, z. B.:;Ethernet, Fibre Channel
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Anpassbarkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Benutzbarkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Effizienz
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Funktionalität
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Übertragbarkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Zuverlässigkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);01 Anforderungen kundengerecht erfassen können;Normen anwenden
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;ERM (Entity-Relationship-Modell)
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;UML-Klassendiagramm
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;Mock-up
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;UML-Aktivitätsdiagramm
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;UML-Anwendungsfalldiagramm (für Fachinformatiker Anwendungsentwicklung, Datenverarbeitung)
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;UML-Sequenzdiagramm (für Fachinformatiker Anwendungsentwicklung)
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);02 Planen mit geeigneten Modellen;UML-Zustandsdiagramm (für Fachinformatiker Anwendungsentwicklung)
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);03 Festlegen von Schnittstellen und vorhandene Schnittstellen nutzen;Datenaustauschformate (XML, JSON ...)
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);03 Festlegen von Schnittstellen und vorhandene Schnittstellen nutzen;Datenbankverbindung implementieren
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);03 Festlegen von Schnittstellen und vorhandene Schnittstellen nutzen;SQL
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);03 Festlegen von Schnittstellen und vorhandene Schnittstellen nutzen;API
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Performance, Speicherverbrauch
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Portabilität
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Framework/Bibliotheken
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Einsatz von Integrierten Entwicklungsumgebungen
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Aufwand
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);04 Situationsgerechte Auswahl einer passenden Programmiersprache begründen können;Know-how/Fachkenntnis
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);05 Algorithmen in einer Programmiersprache darstellen;Die Darstellung soll in allgemein verständlichem Programm- oder Pseudocode erfolgen. Der Code soll für Dritte ohne Kenntnis der verwendeten Programmiersprache lesbar sein. Der Code muss nicht in der geschriebenen Sprache kompilierbar bzw. ausführbar sein.
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);06 Wiederkehrende Systemabläufe mithilfe von Skripten automatisieren und überwachen können;Shellprogrammierung, z. B. PowerShell, Bash
Teil 2 der Abschlussprüfung - 02: Systemintegration;03 Programmieren von Softwarelösungen (§ 4 Absatz 2 Nummer 10);06 Wiederkehrende Systemabläufe mithilfe von Skripten automatisieren und überwachen können;Skriptprogrammierung, z. B. Python
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Server
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Peripheriegeräte
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Clients
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Storage
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Appliance
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Virtualisierung
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Betriebssysteme
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Anwendungen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;Sicherheitsaspekte
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);01 Anforderungen an Systemkomponenten definieren;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;Bandbreite
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;Latenz
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;Verfügbarkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;Übertragungsmedium
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;Netzwerksicherheit
